12-Jan,Rayo Vallecano,Cordoba
12-Jan,Jordan,Iraq
12-Jan,Kuwait,South Korea
12-Jan,Hamilton Academical,Dundee United
12-Jan,Coventry City,Swindon Town
12-Jan,Valenciennes,Sochaux
13-Jan,Bristol City,Doncaster Rovers
13-Jan,West Ham United,Everton
13-Jan,Chesterfield,Scunthorpe United
13-Jan,Wolverhampton Wanderers,Fulham
13-Jan,Espanyol,Valencia
13-Jan,Levante,Malaga
13-Jan,AC Milan,Sassuolo
13-Jan,Bastia,Stade Rennes
13-Jan,St Etienne,Paris Saint-Germain
13-Jan,Oman,Australia
13-Jan,North Korea,Saudi Arabia
13-Jan,Dartford,Halifax
13-Jan,Bala Town,Bangor City
14-Jan,Bradford City,Millwall
14-Jan,Ipswich Town,Southhampton
14-Jan,Tottenham Hotspur,Burnley
14-Jan,Athletic Bilbao,Celta Vigo
14-Jan,Getafe,Almeria
14-Jan,Sevilla FC,Granada
14-Jan,Real Sociedad,Villareal
14-Jan,Parma,Cagliardi
14-Jan,Torino,Lazio
14-Jan,AS Monaco,Guingamp
14-Jan,Lille,Nantes
14-Jan,China,Uzbekistan
14-Jan,Bahrain,United Arab Emirates
14-Jan,Antofagasta,Palestino
14-Jan,Union Espanola,Universidad de Concepcion
15-Jan,Real Madrid,Atletico Madrid
15-Jan,Elche,Barcelona
15-Jan,Juventus,Hellas Verona
15-Jan,Qatar,Iran
15-Jan,Palestine,Jordan
16-Jan,Cordoba,Eibar
16-Jan,Bordeaux,Nice
16-Jan,Ajax Amsterdam,FC Groningen
16-Jan,Iraq,Japan
16-Jan,Queretaro,U de G
16-Jan,Veracruz,Puebla
16-Jan,Tijuana,America
16-Jan,Preston North End,Leyton Orient
16-Jan,Cheltenham Town,Morecambe
16-Jan,Rangers,Heart of Midlothian
16-Jan,AJ Auxerre,Clermont Foot
16-Jan,Ajaccio GFCO,Le Havre AC
16-Jan,Arles,Angers
16-Jan,Brest,Niort
16-Jan,Chateauroux,Creteil
16-Jan,Nimes,Valenciennes
16-Jan,Stade Laval,Dijon FCO
16-Jan,Tours,Troyes
16-Jan,Achilles '29,Jong PSV
16-Jan,FC Deb Bosch,Sparta Rotterdam
16-Jan,FC Eindhoven,NEC Nijmegen
16-Jan,Fortuna Sittard,Helmond Sport
16-Jan,MVV Maastricht,Almere City
16-Jan,RKC Waalwijk,Roda JC Kerklade
16-Jan,SC Stormvogels Telstar,Jong Ajax
16-Jan,Institute,Dungannon Swifts
16-Jan,Cobreloa,Universidad Catolica
16-Jan,Lobos BUAP,Celaya
16-Jan,Correcaminos,Zacatepec
17-Jan,Aston Villa,Liverpool
17-Jan,Burnley,Crystal Palace
17-Jan,Leicester City,Stoke City
17-Jan,Queens Park Rangers,Manchester United
17-Jan,Tottenham Hotspur,Sunderland
17-Jan,Newcastle United,Southhampton
17-Jan,Swansea City,Chelsea
17-Jan,Real Sociedad,Rayo Vallecano
17-Jan,Valencia,Almeria
17-Jan,Villareal,Athletic Bilbao
17-Jan,Espanyol,Celta Vigo
17-Jan,Empoli,Internazionale
17-Jan,Palermo,AS Roma
17-Jan,Lens,Lyon
17-Jan,AS Monaco,Nantes
17-Jan,Caen,Stade de Reims
17-Jan,Lorient,Lille
17-Jan,Metz,Montpellier
17-Jan,Toulouse,Bastia
17-Jan,PEC Zwolle,NAC Breda
17-Jan,ADO Den Haag,Cambuur Leewarden
17-Jan,AZ Alkmaar,Dordrecht '90
17-Jan,Vitesse Zwolle,PSV Eindhoven
17-Jan,Equatorial Guinea,Congo
17-Jan,Burkina Faso,Gabon
17-Jan,Australia,South Korea
17-Jan,Oman,Kuwait
17-Jan,Derby County,Nottingham Forest
17-Jan,Brighton and Hove Albion,Brentford
17-Jan,Fulham,Reading
17-Jan,Leeds United,Birmingham City
17-Jan,Middlesbrough,Huddersfield Town
17-Jan,Millwall,Ipswich Town
17-Jan,Norwich City,Cardiff City
17-Jan,Rotherham United,AFC Bournemouth
17-Jan,Watford,Charlton Athletic
17-Jan,Wigam Athletic,Blackburn Rovers
17-Jan,Sheffield Wednesday,Bolton Wanderers
17-Jan,Wolverhampton Wanderers,Blackpool
17-Jan,Cruz Azul,Santos
17-Jan,Monterrey,Pachuca
17-Jan,Leon,UANL
17-Jan,Atlas,Morelia
17-Jan,Guimaraes,Academica de Coimbra
17-Jan,FC Penafiel,FC Porto
17-Jan,Hamilton Academical,Celtic
17-Jan,Aberdeen,Dundee
17-Jan,Dundee United,Inverness Caledonian Thistle
17-Jan,Motherwell,Kilmarnock
17-Jan,Ross County,St Mirren
17-Jan,St Johnstone,Partick Thistle
17-Jan,Anderlecht,Lierse SK
17-Jan,Club Brugge,KV Mechelen
17-Jan,KSC Lokeren,Racing Genk
17-Jan,KV Oostende,KV Kortrijk
17-Jan,KVC Westerlo,Standard Liege
17-Jan,Mouscron-Peruwelz,KAA Gent
17-Jan,Royal Charleroi SC,Cercle Brugge KSV
17-Jan,Waasland-Beveren,Zulte-Waregem
17-Jan,Colchester United,Walsall
17-Jan,Doncaster Rovers,Barnsley
17-Jan,Gillingham,Coventry City
17-Jan,Milton Keynes Dons,Sheffield United
17-Jan,Fleetwood Town,Oldham Athletic
17-Jan,Notts County,Crewe Alexandra
17-Jan,Port Vale,Peterborough United
17-Jan,Rochdale,Crawley Town
17-Jan,Scunthorpe United,Bristol City
17-Jan,Swindon Town,Chesterfield
17-Jan,Yeovil Town,Bradford City
17-Jan,AFC Wimbledon,Carlisle United
17-Jan,Bury,Wycombe Wanderers
17-Jan,Mansfield Town,Exeter City
17-Jan,Portsmouth,Burton Albion
17-Jan,Tranmere Rovers,Accrington Stanley
17-Jan,York City,Stevenage
17-Jan,Plymouth Argyle,Luton Town
17-Jan,Northhampton Town,Dagenham and Redbridge
17-Jan,Cambridge United,Newport County
17-Jan,Oxford United,Southend United
17-Jan,Shrewsbury Town,Hartlepool United
17-Jan,Grimbsy Town,Barnet
17-Jan,Altrincham,Torquay United
17-Jan,Braintree Town,Forest Green Rovers
17-Jan,Dover,Dartford
17-Jan,Halifax,Eastleigh
17-Jan,Kidderminster Harriers,Macclesfield Town
17-Jan,Lincoln City,Aldershot Town
17-Jan,Nuneaton Town,Gateshead
17-Jan,Southport,Chester City
17-Jan,Wrexham,AFC Telford United
17-Jan,Welling,Alfreton Town
17-Jan,Woking,Bristol Rivers
17-Jan,Ayr United,Greenock Morton
17-Jan,Dunfermline Athletic,Airdie United
17-Jan,Peterhead,Stirling Albion
17-Jan,Stranraer,Brechin City
17-Jan,Forfar Athletic,Stenhousmuir
17-Jan,Albion Rovers,East Fife
17-Jan,Berwick Rangers,Montrose
17-Jan,East Stirlingshire,Annan Athletic
17-Jan,Elgin City,Clyde
17-Jan,Queen's Park,Arbroath
17-Jan,Bari,Virtus Entella
17-Jan,Brescia,Frosinone
17-Jan,Lanciano,Catania
17-Jan,Latina,Vicenza
17-Jan,Spezia,Varese
17-Jan,Ternana,Crotone
17-Jan,Cittadella,Modena
17-Jan,Pro Vercelli,US Avellino
17-Jan,Trapani,US Pescara
17-Jan,Sochaux,AC Ajaccio
17-Jan,FC Volendam,FC Oss
17-Jan,De Graafschap,FC Emmen VV
17-Jan,Ballinamallard Utd,Linfield
17-Jan,Cliftonville,Warrenpoint Town
17-Jan,Glentoran,Crusaders
17-Jan,Portadown,Ballymena
17-Jan,Coleraine,Glenavon
17-Jan,Deportivo La Guaira,Deportivo Lara
17-Jan,Universidad de Concepcion,O'Higgins
17-Jan,Santiago Wanderers,Universidad de Chile
17-Jan,Union Espanola,Arica
18-Jan,West Ham United,Hull City
18-Jan,Manchester City,Arsenal
18-Jan,Getafe,Real Madrid
18-Jan,Atletico Madrid,Granada
18-Jan,Elche,Levante
18-Jan,Sevilla FC,Malaga
18-Jan,Deportivo La Coruna,Barcelona
18-Jan,Lazio,Napoli
18-Jan,AC Milan,Atalanta
18-Jan,Cesena,Torino
18-Jan,Chievo Verona,Fiorentina
18-Jan,Genoa,Sassuolo
18-Jan,Parma,Sampdoria
18-Jan,Udinese,Cagliardi
18-Jan,Juventus,Hellas Verona
18-Jan,Paris Saint-Germain,Evian Thonon Gaillard
18-Jan,Stade Rennes,St Etienne
